8148, 7676, 8049, 7205, 6623, 5933, 5951, 5290, 4113, 4935, 4661, 4465, 4038, 4232, 4159, 3930, 4285, 4313, 4414, 4496, 4718, 4835, 4986, 5043, 5201, 5475, 5579, 5824, 5936, 6149, 6267, 6466, 6669, 6839, 7023, 7171, 7390, 7608, 7764, 7961, 8167, 8347, 8533, 8741, 8929, 9133, 9310, 9515, 9704, 9901, 
8335, 6976, 7481, 6606, 6555, 5179, 5301, 5141, 4798, 4251, 4271, 4087, 4051, 3926, 4176, 4119, 4421, 4324, 4366, 4505, 4719, 4806, 4948, 5069, 5220, 5340, 5563, 5788, 5867, 6127, 6336, 6435, 6632, 6811, 7029, 7193, 7400, 7617, 7774, 7945, 8159, 8341, 8534, 8729, 8926, 9128, 9312, 9514, 9710, 9900, 
7748, 7373, 6922, 6970, 6232, 5685, 5266, 4386, 4830, 4207, 3977, 3983, 3814, 4056, 3935, 4133, 4072, 4411, 4396, 4454, 4611, 4844, 4957, 5123, 5174, 5416, 5611, 5785, 5927, 6132, 6272, 6539, 6663, 6822, 7027, 7195, 7385, 7591, 7802, 7971, 8156, 8355, 8549, 8745, 8938, 9133, 9317, 9510, 9707, 9904, 
7754, 7243, 6713, 5963, 5274, 5068, 5006, 4837, 3966, 3855, 4185, 3791, 3929, 3665, 4018, 4136, 4273, 4278, 4220, 4480, 4701, 4752, 4797, 5167, 5245, 5411, 5522, 5835, 5913, 6058, 6289, 6474, 6617, 6859, 7026, 7216, 7401, 7589, 7775, 7968, 8147, 8345, 8544, 8728, 8934, 9122, 9319, 9507, 9711, 9904, 
6878, 6511, 6642, 5937, 5599, 5169, 4278, 4967, 4208, 3815, 3861, 4069, 3765, 3750, 3683, 3962, 4142, 4211, 4249, 4543, 4519, 4884, 4877, 5040, 5170, 5444, 5640, 5763, 5921, 6089, 6256, 6464, 6598, 6827, 7023, 7222, 7403, 7587, 7776, 7974, 8140, 8354, 8540, 8738, 8931, 9120, 9314, 9513, 9708, 9901, 
7373, 6291, 6689, 5706, 5253, 4270, 4580, 3977, 3857, 3758, 3976, 3755, 4053, 3700, 3853, 3848, 4140, 4225, 4359, 4442, 4588, 4779, 4903, 5077, 5186, 5409, 5566, 5733, 5918, 6088, 6251, 6424, 6684, 6852, 7002, 7211, 7391, 7579, 7769, 7977, 8147, 8351, 8541, 8731, 8922, 9116, 9314, 9507, 9703, 9905, 
6328, 6254, 5755, 6058, 4901, 4557, 4808, 4015, 3601, 4170, 3559, 3437, 3681, 3677, 3883, 3887, 4178, 4301, 4292, 4348, 4724, 4882, 4923, 5012, 5241, 5357, 5618, 5719, 5931, 6062, 6255, 6432, 6658, 6802, 7019, 7254, 7419, 7574, 7785, 7962, 8166, 8348, 8533, 8744, 8920, 9123, 9314, 9506, 9708, 9902, 
6758, 5822, 5239, 4942, 4317, 4404, 4690, 3591, 3642, 3628, 3737, 3754, 3783, 3704, 3953, 3887, 4063, 4322, 4210, 4346, 4661, 4825, 4882, 5025, 5114, 5433, 5563, 5779, 5940, 6104, 6260, 6480, 6652, 6842, 7020, 7206, 7404, 7586, 7779, 7955, 8144, 8334, 8564, 8727, 8919, 9118, 9324, 9511, 9711, 9903, 
6308, 5301, 5058, 4489, 4290, 4858, 3792, 3591, 3751, 3679, 3077, 3516, 3726, 3674, 3720, 3814, 4062, 4064, 4196, 4338, 4535, 4797, 4744, 5115, 5266, 5418, 5534, 5743, 5899, 6112, 6251, 6475, 6659, 6819, 7020, 7188, 7371, 7595, 7765, 7961, 8144, 8363, 8540, 8731, 8930, 9120, 9313, 9510, 9705, 9903, 
5874, 6045, 5378, 4562, 4052, 4571, 3960, 3940, 3489, 3705, 3608, 3417, 3420, 3846, 3696, 3759, 4063, 4195, 4174, 4436, 4568, 4640, 4798, 5053, 5209, 5349, 5457, 5696, 5848, 6039, 6289, 6481, 6646, 6824, 7013, 7197, 7395, 7564, 7775, 7975, 8147, 8345, 8534, 8734, 8922, 9127, 9311, 9512, 9702, 9903, 
